name,type,hp,card_type,sub_type,evolves_from,attacks,ex_rule,weaknesses,retreat_cost,artist,card_description,id,rarity,pack,set,version,image,ability
Pokémon Flute,,,,,No,,Toyste Beach,,64,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #64 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_064_EN.webp,
Mythical Slab,,,,,No,,AYUMI ODASHIMA,,65,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #65 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_065_EN.webp,
Budding Expeditioner,,,,,No,,Yuu Nishida,,66,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #66 ◊◊ Mythical Island #80 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_066_EN.webp,
Blue,,,,,No,,Ryuta Fuse,,67,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #67 ◊◊ Mythical Island #81 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_067_EN.webp,
Leaf,,,,,No,,En Morikura,,68,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #68 ◊◊ Mythical Island #82 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_068_EN.webp,
Exeggutor,Grass,130,Pokémon,Stage 1,Exeggcute,Psychic attack points:80+ attack energy:GCCC attack description: This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,No,Fire,3,Gapao,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,69,☆,Mew pack,Mythical Island (A1a),Mythical Island #2 ◊◊ Mythical Island #69 ☆ Celestial Guardians #214 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_069_EN.webp,
Serperior,Grass,110,Pokémon,Stage 2,Servine,Solar Beam attack points:70 attack energy:GCCC attack description: ,No,Fire,2,rika,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,70,☆,Mew pack,Mythical Island (A1a),Mythical Island #6 ◊◊◊ Mythical Island #70 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_070_EN.webp,Jungle Totem Each [G] Energy attached to your [G] Pokémon provides 2 [G] Energy. This effect doesn't stack.
Salandit,Fire,60,Pokémon,Basic,,"Venoshock attack points:10+ attack energy:C attack description: If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.",No,Water,1,Nurikabe,"It taunts its prey and lures them into narrow, rocky areas where it then sprays them with toxic gas to make them dizzy and take them down.",71,☆,Mew pack,Mythical Island (A1a),Mythical Island #15 ◊ Mythical Island #71 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_071_EN.webp,
Vaporeon,Water,120,Pokémon,Stage,1     Eevee,Wave Splash attack points:60 attack energy:WCC attack description: ,No,Lightning,2,aspara,"It lives close to water. Its long tail is ridged with a fin, which is often mistaken for a mermaid’s.",72,☆,Mew pack,Mythical Island (A1a),Mythical Island #19 ◊◊◊ Mythical Island #72 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_072_EN.webp,"Wash Out As often as you like during your turn, you may move a [W] Energy from 1 of your Benched [W] Pokémon to your Active [W] Pokémon."
Dedenne,Lightning,60,Pokémon,Basic,,"Thunder Shock attack points:10 attack energy:L attack description: Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",No,Fighting,1,Yuu Nishida,"It’s small and its electricity-generating organ is not fully developed, so it uses its tail to absorb electricity from people’s homes and charge itself.",73,☆,Mew pack,Mythical Island (A1a),Mythical Island #30 ◊ Mythical Island #73 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_073_EN.webp,
Marshadow,Fighting,80,Pokémon,Basic,,"Revenge attack points:40+ attack energy:FC attack description: If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.",No,Psychic,1,OKACHEKE,"It slips into the shadows of others and mimics their powers and movements. As it improves, it becomes stronger than those it’s imitating.",74,☆,Mew pack,Mythical Island (A1a),Mythical Island #47 ◊◊◊ Mythical Island #74 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_074_EN.webp,
Celebi ex,Grass,130,Pokémon,Basic,,Powerful Bloom attack points:50x attack energy:GC attack description: Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,No,Fire,1,PLANETA CG Works,,75,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #3 ◊◊◊◊ Mythical Island #75 ☆☆ Mythical Island #85 ☆☆☆ Extradimensional Crisis #99 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_075_EN.webp,
Gyarados ex,Water,180,Pokémon,Stage 1,Magikarp,Rampaging Whirlpool attack points:140 attack energy:WWWC attack description: Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).,No,Lightning,3,PLANETA CG Works,,76,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #18 ◊◊◊◊ Mythical Island #76 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_076_EN.webp,
Mew ex,Psychic,130,Pokémon,Basic,,Psyshot attack points:20 attack energy:P attack description: ,Yes,Darkness,1,PLANETA CG Works,,77,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #32 ◊◊◊◊ Mythical Island #77 ☆☆ Mythical Island #83 ☆☆ Mythical Island #86 Crown Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_077_EN.webp,
Aerodactyl ex,Fighting,140,Pokémon,Stage,1     Old Amber,Land Crush attack points:80 attack energy:FC attack description: ,Yes,Lightning,1,PLANETA CG Works,,78,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #46 ◊◊◊◊ Mythical Island #78 ☆☆ Mythical Island #84 ☆☆ Extradimensional Crisis #101 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_078_EN.webp,Primeval Law Your opponent can't play any Pokémon from their hand to evolve their Active Pokémon.
Pidgeot ex,Colorless,170,Pokémon,Stage 2,Pidgeotto,Scattering Cyclone attack points:80+ attack energy:CCC attack description: This attack does 20 more damage for each of your opponent's Benched Pokémon.,No,Lightning,1,PLANETA CG Works,,79,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #59 ◊◊◊◊ Mythical Island #79 ☆☆ Extradimensional Crisis #102 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_079_EN.webp,
Budding Expeditioner,,,,,No,,Yuu Nishida,,80,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #66 ◊◊ Mythical Island #80 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_080_EN.webp,
Blue,,,,,No,,Ryuta Fuse,,81,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #67 ◊◊ Mythical Island #81 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_081_EN.webp,
Leaf,,,,,No,,En Morikura,,82,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #68 ◊◊ Mythical Island #82 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_082_EN.webp,
Mew ex,Psychic,130,Pokémon,Basic,,Psyshot attack points:20 attack energy:P attack description: ,Yes,Darkness,1,HYOGONOSUKE,,83,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #32 ◊◊◊◊ Mythical Island #77 ☆☆ Mythical Island #83 ☆☆ Mythical Island #86 Crown Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_083_EN.webp,
Aerodactyl ex,Fighting,140,Pokémon,Stage,1     Old Amber,Land Crush attack points:80 attack energy:FC attack description: ,Yes,Lightning,1,danciao,,84,☆☆,Mew pack,Mythical Island (A1a),Mythical Island #46 ◊◊◊◊ Mythical Island #78 ☆☆ Mythical Island #84 ☆☆ Extradimensional Crisis #101 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_084_EN.webp,Primeval Law Your opponent can't play any Pokémon from their hand to evolve their Active Pokémon.
Celebi ex,Grass,130,Pokémon,Basic,,Powerful Bloom attack points:50x attack energy:GC attack description: Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,No,Fire,1,kantaro,,85,☆☆☆,Mew pack,Mythical Island (A1a),Mythical Island #3 ◊◊◊◊ Mythical Island #75 ☆☆ Mythical Island #85 ☆☆☆ Extradimensional Crisis #99 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_085_EN.webp,
Mew ex,Psychic,130,Pokémon,Basic,,Psyshot attack points:20 attack energy:P attack description: ,Yes,Darkness,1,PLANETA CG Works,,86,Crown,Rare  Mew pack,Mythical Island (A1a),Mythical Island #32 ◊◊◊◊ Mythical Island #77 ☆☆ Mythical Island #83 ☆☆ Mythical Island #86 Crown Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_086_EN.webp,
