name,type,hp,card_type,sub_type,evolves_from,attacks,ex_rule,weaknesses,retreat_cost,artist,card_description,set,id,rarity,pack,versions,image,ability
Miltank,Colorless,110,Pokémon,Basic,,"[{'name': 'Rolling Frenzy', 'damage': '10', 'energy': ['Normal'], 'description': ""Until this Pokémon leaves the Active Spot, this Pokémon's Rolling Frenzy attack does +30 damage. This effect stacks.""}]",,Fighting,3,Kanako Eo,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times.",Promo-A,Promo--107,,,['Secluded Springs #62 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_107_EN_SM.webp,
Phanpy,Fighting,70,Pokémon,Basic,,"[{'name': 'Flail', 'damage': '', 'energy': ['N/A'], 'description': ""This attack does damage to your opponent's Active Pokémon equal to the damage this Pokémon has on it.""}]",,Grass,2,Asako Ito,"This Pokémon lives and nests on a riverbank. After playing in the mud, it won’t be able to settle down unless it washes its body.",Promo-A,Promo--108,,,"['Secluded Springs #43 ◊', 'Secluded Springs #76 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_108_EN_SM.webp,
Exeggcute,Grass,50,Pokémon,Basic,,"[{'name': 'Growth Spurt', 'damage': '', 'energy': ['Normal'], 'description': 'Take a [G] Energy from your Energy Zone and attach it to this Pokémon.'}]",,Fire,1,Yuka Morii,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",Mythical Island (A1a),A1a-1,◊,Mew pack,['Mythical Island #1 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_001_EN_SM.webp,
Exeggutor,Grass,130,Pokémon,Stage 1,Exeggcute,"[{'name': 'Psychic', 'damage': '80+', 'energy': ['Grass', 'Normal', 'Normal', 'Normal'], 'description': ""This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.""}]",,Fire,3,Masakazu Fukuda,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,Mythical Island (A1a),A1a-2,◊◊,Mew pack,"['Mythical Island #2 ◊◊', 'Mythical Island #69 ☆', 'Celestial Guardians #214 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_002_EN_SM.webp,
Celebi ex,Grass,130,Pokémon,Basic,,"[{'name': 'Powerful Bloom', 'damage': '50x', 'energy': ['Grass', 'Normal'], 'description': 'Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.'}]",,Fire,1,PLANETA CG Works,,Mythical Island (A1a),A1a-3,◊◊◊◊,Mew pack,"['Mythical Island #3 ◊◊◊◊', 'Mythical Island #75 ☆☆', 'Mythical Island #85 ☆☆☆', 'Extradimensional Crisis #99 ☆☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_003_EN_SM.webp,
Snivy,Grass,70,Pokémon,Basic,,"[{'name': 'Vine Whip', 'damage': '40', 'energy': ['Grass', 'Normal']}]",,Fire,1,Kagemaru Himeno,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,Mythical Island (A1a),A1a-4,◊,Mew pack,['Mythical Island #4 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_004_EN_SM.webp,
Servine,Grass,80,Pokémon,Stage 1,Snivy,"[{'name': 'Vine Whip', 'damage': '50', 'energy': ['Grass', 'Normal']}]",,Fire,1,Shigenori Negishi,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",Mythical Island (A1a),A1a-5,◊◊,Mew pack,['Mythical Island #5 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_005_EN_SM.webp,
Serperior,Grass,110,Pokémon,Stage 2,Servine,"[{'name': 'Solar Beam', 'damage': '70', 'energy': ['Grass', 'Normal', 'Normal', 'Normal']}]",,Fire,2,Yoshioka,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,Mythical Island (A1a),A1a-6,◊◊◊,Mew pack,"['Mythical Island #6 ◊◊◊', 'Mythical Island #70 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_006_EN_SM.webp,Jungle Totem: Each [G] Energy attached to your [G] Pokémon provides 2 [G] Energy. This effect doesn't stack.
Morelull,Grass,60,Pokémon,Basic,,"[{'name': 'Ram', 'damage': '20', 'energy': ['Grass']}]",,Fire,1,Saya Tsuruta,Pokémon living in the forest eat the delicious caps on Morelull’s head. The caps regrow overnight.,Mythical Island (A1a),A1a-7,◊,Mew pack,['Mythical Island #7 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_007_EN_SM.webp,
Shiinotic,Grass,90,Pokémon,Stage 1,Morelull,"[{'name': 'Flickering Spores', 'damage': '50', 'energy': ['Grass', 'Grass'], 'description': ""Your opponent's Active Pokémon is now Asleep.""}]",,Fire,2,Mizue,"Its flickering spores lure in prey and put them to sleep. Once this Pokémon has its prey snoozing, it drains their vitality with its fingertips.",Mythical Island (A1a),A1a-8,◊◊,Mew pack,['Mythical Island #8 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_008_EN_SM.webp,
Dhelmise,Grass,100,Pokémon,Basic,,"[{'name': 'Energy Whip', 'damage': '20+', 'energy': ['Grass'], 'description': 'If this Pokémon has at least 3 extra [G] Energy attached, this attack does 70 more damage.'}]",,Fire,2,Hasuno,"After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon.",Mythical Island (A1a),A1a-9,◊◊,Mew pack,['Mythical Island #9 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_009_EN_SM.webp,
Ponyta,Fire,60,Pokémon,Basic,,"[{'name': 'Stomp', 'damage': '10+', 'energy': ['Fire'], 'description': 'Flip a coin. If heads, this attack does 30 more damage.'}]",,Water,1,Tomokazu Komiya,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",Mythical Island (A1a),A1a-10,◊,Mew pack,['Mythical Island #10 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_010_EN_SM.webp,
Rapidash,Fire,100,Pokémon,Stage 1,Ponyta,"[{'name': 'Rising Lunge', 'damage': '40+', 'energy': ['Fire', 'Normal'], 'description': 'Flip a coin. If heads, this attack does 60 more damage.'}]",,Water,1,AKIRA EGAWA,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",Mythical Island (A1a),A1a-11,◊◊,Mew pack,['Mythical Island #11 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_011_EN_SM.webp,
Magmar,Fire,80,Pokémon,Basic,,"[{'name': 'Fire Blast', 'damage': '80', 'energy': ['Fire', 'Fire'], 'description': 'Discard 2 [R] Energy from this Pokémon.'}]",,Water,2,sui,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,Mythical Island (A1a),A1a-12,◊◊,Mew pack,['Mythical Island #12 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_012_EN_SM.webp,
Larvesta,Fire,80,Pokémon,Basic,,"[{'name': 'Combustion', 'damage': '30', 'energy': ['Fire', 'Normal']}]",,Water,2,kawayoo,This Pokémon was called the Larva That Stole the Sun. The fire Larvesta spouts from its horns can cut right through a sheet of iron.,Mythical Island (A1a),A1a-13,◊,Mew pack,['Mythical Island #13 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_013_EN_SM.webp,
Volcarona,Fire,120,Pokémon,Stage 1,Larvesta,"[{'name': 'Volcanic Ash', 'damage': '', 'energy': ['Fire', 'Fire', 'Normal'], 'description': ""Discard 2 [R] Energy from this Pokémon. This attack does 80 damage to 1 of your opponent's Pokémon.""}]",,Water,2,DOM,"Its burning body causes it to be unpopular in hot parts of the world, but in cold ones, Volcarona is revered as an embodiment of the sun.",Mythical Island (A1a),A1a-14,◊◊◊,Mew pack,['Mythical Island #14 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_014_EN_SM.webp,
Salandit,Fire,60,Pokémon,Basic,,"[{'name': 'Venoshock', 'damage': '10+', 'energy': ['Normal'], 'description': ""If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.""}]",,Water,1,Naoki Saito,"It taunts its prey and lures them into narrow, rocky areas where it then sprays them with toxic gas to make them dizzy and take them down.",Mythical Island (A1a),A1a-15,◊,Mew pack,"['Mythical Island #15 ◊', 'Mythical Island #71 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_015_EN_SM.webp,
Salazzle,Fire,80,Pokémon,Stage 1,Salandit,"[{'name': 'Poison Claws', 'damage': '30', 'energy': ['Fire'], 'description': ""Your opponent's Active Pokémon is now Poisoned.""}]",,Water,1,Mitsuhiro Arita,"Salazzle makes its opponents light-headed with poisonous gas, then captivates them with alluring movements to turn them into loyal servants.",Mythical Island (A1a),A1a-16,◊,Mew pack,['Mythical Island #16 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_016_EN_SM.webp,
Magikarp,Water,30,Pokémon,Basic,,"[{'name': 'Leap Out', 'damage': '', 'energy': ['Water'], 'description': 'Switch this Pokémon with 1 of your Benched Pokémon.'}]",,Lightning,1,Mitsuhiro Arita,"An underpowered, pathetic Pokémon. It may jump high on rare occasions but never more than seven feet.",Mythical Island (A1a),A1a-17,◊,Mew pack,['Mythical Island #17 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_017_EN_SM.webp,
Gyarados ex,Water,180,Pokémon,Stage 1,Magikarp,"[{'name': 'Rampaging Whirlpool', 'damage': '140', 'energy': ['Water', 'Water', 'Water', 'Normal'], 'description': ""Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).""}]",,Lightning,3,PLANETA CG Works,,Mythical Island (A1a),A1a-18,◊◊◊◊,Mew pack,"['Mythical Island #18 ◊◊◊◊', 'Mythical Island #76 ☆☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_018_EN_SM.webp,
Vaporeon,Water,120,Pokémon,Stage 1,Eevee,"[{'name': 'Wave Splash', 'damage': '60', 'energy': ['Water', 'Normal', 'Normal']}]",,Lightning,2,LINNE,"It lives close to water. Its long tail is ridged with a fin, which is often mistaken for a mermaid’s.",Mythical Island (A1a),A1a-19,◊◊◊,Mew pack,"['Mythical Island #19 ◊◊◊', 'Mythical Island #72 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_019_EN_SM.webp,"Wash Out: As often as you like during your turn, you may move a [W] Energy from 1 of your Benched [W] Pokémon to your Active [W] Pokémon."
Finneon,Water,60,Pokémon,Basic,,"[{'name': 'Water Gun', 'damage': '20', 'energy': ['Water']}]",,Lightning,1,sui,The line running down its side can store sunlight. It shines vividly at night.,Mythical Island (A1a),A1a-20,◊,Mew pack,['Mythical Island #20 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_020_EN_SM.webp,
Lumineon,Water,80,Pokémon,Stage 1,Finneon,"[{'name': 'Aqua Liner', 'damage': '', 'energy': ['Water', 'Water'], 'description': ""This attack does 50 damage to 1 of your opponent's Benched Pokémon.""}]",,Lightning,0,Sekio,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.",Mythical Island (A1a),A1a-21,◊◊,Mew pack,['Mythical Island #21 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_021_EN_SM.webp,
Chewtle,Water,80,Pokémon,Basic,,"[{'name': 'Bite', 'damage': '30', 'energy': ['Water', 'Normal']}]",,Lightning,2,Taiga Kayama,"Its large front tooth is still growing in. When the tooth itches, this Pokémon will bite another Chewtle’s horn, and the two Pokémon will tussle.",Mythical Island (A1a),A1a-22,◊,Mew pack,['Mythical Island #22 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_022_EN_SM.webp,
Drednaw,Water,130,Pokémon,Stage 1,Chewtle,"[{'name': 'Crunch', 'damage': '70', 'energy': ['Water', 'Water', 'Water'], 'description': ""Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.""}]",,Lightning,3,nisimono,"Its massive, jagged teeth can crush a boulder in a single bite. This Pokémon has an extremely vicious disposition.",Mythical Island (A1a),A1a-23,◊◊,Mew pack,['Mythical Island #23 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_023_EN_SM.webp,
Cramorant,Water,80,Pokémon,Basic,,"[{'name': 'Dive', 'damage': '60', 'energy': ['Water', 'Water', 'Normal'], 'description': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""}]",,Lightning,1,Jerky,"It’s so strong that it can knock out some opponents in a single hit, but it also may forget what it’s battling midfight.",Mythical Island (A1a),A1a-24,◊,Mew pack,['Mythical Island #24 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_024_EN_SM.webp,
Pikachu,Lightning,60,Pokémon,Basic,,"[{'name': 'Circle Circuit', 'damage': '10x', 'energy': ['Electric'], 'description': 'This attack does 10 damage for each of your Benched [L] Pokémon.'}]",,Fighting,1,Naoyo Kimura,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",Mythical Island (A1a),A1a-25,◊,Mew pack,['Mythical Island #25 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_025_EN_SM.webp,
Raichu,Lightning,120,Pokémon,Stage 1,Pikachu,"[{'name': 'Gigashock', 'damage': '60', 'energy': ['Electric', 'Electric', 'Electric'], 'description': ""This attack also does 20 damage to each of your opponent's Benched Pokémon.""}]",,Fighting,2,hncl,"Its tail discharges electricity into the ground, protecting it from getting shocked.",Mythical Island (A1a),A1a-26,◊◊◊,Mew pack,['Mythical Island #26 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_026_EN_SM.webp,
Electabuzz,Lightning,70,Pokémon,Basic,,"[{'name': 'Thunder Spear', 'damage': '', 'energy': ['Electric', 'Electric'], 'description': ""This attack does 40 damage to 1 of your opponent's Pokémon.""}]",,Fighting,1,Naoyo Kimura,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,Mythical Island (A1a),A1a-27,◊◊,Mew pack,['Mythical Island #27 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_027_EN_SM.webp,
Joltik,Lightning,40,Pokémon,Basic,,"[{'name': 'Bug Bite', 'damage': '30', 'energy': ['Electric']}]",,Fighting,1,MINAMINAMI Take,Joltik can be found clinging to other Pokémon. It’s soaking up static electricity because it can’t produce a charge on its own.,Mythical Island (A1a),A1a-28,◊,Mew pack,['Mythical Island #28 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_028_EN_SM.webp,
Galvantula,Lightning,80,Pokémon,Stage 1,Joltik,"[{'name': 'Electroweb', 'damage': '70', 'energy': ['Electric', 'Electric'], 'description': ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",,Fighting,1,Mitsuhiro Arita,It launches electrified fur from its abdomen as its means of attack. Opponents hit by the fur could be in for three full days and nights of paralysis.,Mythical Island (A1a),A1a-29,◊◊,Mew pack,['Mythical Island #29 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_029_EN_SM.webp,
Dedenne,Lightning,60,Pokémon,Basic,,"[{'name': 'Thunder Shock', 'damage': '10', 'energy': ['Electric'], 'description': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",,Fighting,1,Taiga Kayama,"It’s small and its electricity-generating organ is not fully developed, so it uses its tail to absorb electricity from people’s homes and charge itself.",Mythical Island (A1a),A1a-30,◊,Mew pack,"['Mythical Island #30 ◊', 'Mythical Island #73 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_030_EN_SM.webp,
Mew,Psychic,60,Pokémon,Basic,,"[{'name': 'Psy Report', 'damage': '20', 'energy': ['Psychic'], 'description': 'Your opponent reveals their hand.'}]",,Darkness,1,Saya Tsuruta,"Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.",Mythical Island (A1a),A1a-31,◊◊◊,Mew pack,"['Genetic Apex #283 ☆☆☆', 'Mythical Island #31 ◊◊◊']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_031_EN_SM.webp,
Mew ex,Psychic,130,Pokémon,Basic,,"[{'name': 'Psyshot', 'damage': '20', 'energy': ['Psychic']}, {'name': 'Genome Hacking', 'damage': '', 'energy': ['Normal', 'Normal', 'Normal'], 'description': ''}]","ex rule: When your Pokémon ex is Knocked Out, your opponent gets 2 points.",Darkness,1,PLANETA CG Works,,Mythical Island (A1a),A1a-32,◊◊◊◊,Mew pack,"['Mythical Island #32 ◊◊◊◊', 'Mythical Island #77 ☆☆', 'Mythical Island #83 ☆☆', 'Mythical Island #86 Crown Rare']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_032_EN_SM.webp,
Sigilyph,Psychic,80,Pokémon,Basic,,"[{'name': 'Spike Draw', 'damage': '10', 'energy': ['Psychic'], 'description': 'Draw a card.'}]",,Darkness,1,Shigenori Negishi,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.,Mythical Island (A1a),A1a-33,◊◊,Mew pack,['Mythical Island #33 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_033_EN_SM.webp,
Elgyem,Psychic,60,Pokémon,Basic,,"[{'name': 'Headbutt', 'damage': '20', 'energy': ['Psychic']}]",,Darkness,1,Kouki Saitou,"If this Pokémon stands near a TV, strange scenery will appear on the screen. That scenery is said to be from its home.",Mythical Island (A1a),A1a-34,◊,Mew pack,['Mythical Island #34 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_034_EN_SM.webp,
Beheeyem,Psychic,90,Pokémon,Stage 1,Elgyem,"[{'name': 'Mind Jack', 'damage': '10+', 'energy': ['Psychic'], 'description': ""This attack does 20 more damage for each of your opponent's Benched Pokémon.""}]",,Darkness,1,sowsow,"Whenever a Beheeyem visits a farm, a Dubwool mysteriously disappears.",Mythical Island (A1a),A1a-35,◊◊,Mew pack,['Mythical Island #35 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_035_EN_SM.webp,
Flabébé,Psychic,40,Pokémon,Basic,,"[{'name': 'Hypnotic Gaze', 'damage': '', 'energy': ['Psychic'], 'description': ""Your opponent's Active Pokémon is now Asleep.""}]",,Metal,1,Cona Nitanda,This Pokémon can draw forth the power hidden within blooming wild flowers. It is particularly fond of red flowers.,Mythical Island (A1a),A1a-36,◊,Mew pack,['Mythical Island #36 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_036_EN_SM.webp,
Floette,Psychic,70,Pokémon,Stage 1,Flabébé,"[{'name': 'Leaf Drain', 'damage': '40', 'energy': ['Psychic'], 'description': 'Heal 10 damage from this Pokémon.'}]",,Metal,1,Cona Nitanda,This Pokémon draws forth what power is left in withered flowers to make them healthy again. It holds a red flower.,Mythical Island (A1a),A1a-37,◊,Mew pack,['Mythical Island #37 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_037_EN_SM.webp,
Florges,Psychic,120,Pokémon,Stage 2,Floette,"[{'name': 'Bloomshine', 'damage': '80', 'energy': ['Psychic', 'Psychic'], 'description': 'Heal 20 damage from each of your Pokémon.'}]",,Metal,1,Cona Nitanda,This Pokémon creates an impressive flower garden in its territory. It draws forth the power of the red flowers around its neck.,Mythical Island (A1a),A1a-38,◊◊,Mew pack,['Mythical Island #38 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_038_EN_SM.webp,
Swirlix,Psychic,60,Pokémon,Basic,,"[{'name': 'Fairy Wind', 'damage': '20', 'energy': ['Psychic']}]",,Metal,1,5ban Graphics,"It eats its own weight in sugar every day. If it doesn’t get enough sugar, it becomes incredibly grumpy.",Mythical Island (A1a),A1a-39,◊,Mew pack,['Mythical Island #39 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_039_EN_SM.webp,
Slurpuff,Psychic,100,Pokémon,Stage 1,Swirlix,"[{'name': 'Magical Shot', 'damage': '60', 'energy': ['Psychic', 'Normal']}]",,Metal,2,Kagemaru Himeno,"By taking in a person’s scent, it can sniff out their mental and physical condition. It’s hoped that this skill will have many medical applications.",Mythical Island (A1a),A1a-40,◊,Mew pack,['Mythical Island #40 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_040_EN_SM.webp,
Mankey,Fighting,50,Pokémon,Basic,,"[{'name': 'Focus Fist', 'damage': '50', 'energy': ['N/A'], 'description': 'Flip a coin. If tails, this attack does nothing.'}]",,Psychic,1,Akira Komayama,"It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.",Mythical Island (A1a),A1a-41,◊,Mew pack,['Mythical Island #41 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_041_EN_SM.webp,
Primeape,Fighting,80,Pokémon,Stage 1,Mankey,"[{'name': 'Punch', 'damage': '50', 'energy': ['N/A']}]",,Psychic,1,Taiga Kayama,It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.,Mythical Island (A1a),A1a-42,◊,Mew pack,['Mythical Island #42 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_042_EN_SM.webp,
Geodude,Fighting,70,Pokémon,Basic,,"[{'name': 'Light Punch', 'damage': '30', 'energy': ['N/A', 'Normal']}]",,Grass,2,GOSSAN,"Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.",Mythical Island (A1a),A1a-43,◊,Mew pack,['Mythical Island #43 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_043_EN_SM.webp,
Graveler,Fighting,100,Pokémon,Stage 1,Geodude,"[{'name': 'Lunge Out', 'damage': '40', 'energy': ['N/A', 'Normal']}]",,Grass,3,Ayaka Yoshida,"It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.",Mythical Island (A1a),A1a-44,◊◊,Mew pack,['Mythical Island #44 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_044_EN_SM.webp,
Golem,Fighting,160,Pokémon,Stage 2,Graveler,"[{'name': 'Guard Press', 'damage': '120', 'energy': ['N/A', 'N/A', 'N/A', 'Normal'], 'description': ""During your opponent's next turn, this Pokémon takes −30 damage from attacks.""}]",,Grass,3,Masakazu Fukuda,"When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.",Mythical Island (A1a),A1a-45,◊◊◊,Mew pack,['Mythical Island #45 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_045_EN_SM.webp,
Aerodactyl ex,Fighting,140,Pokémon,Stage 1,Old Amber,"[{'name': 'Land Crush', 'damage': '80', 'energy': ['N/A', 'Normal']}]","ex rule: When your Pokémon ex is Knocked Out, your opponent gets 2 points.",Lightning,1,PLANETA CG Works,,Mythical Island (A1a),A1a-46,◊◊◊◊,Mew pack,"['Mythical Island #46 ◊◊◊◊', 'Mythical Island #78 ☆☆', 'Mythical Island #84 ☆☆', 'Extradimensional Crisis #101 ☆☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_046_EN_SM.webp,Primeval Law: Your opponent can't play any Pokémon from their hand to evolve their Active Pokémon.
Marshadow,Fighting,80,Pokémon,Basic,,"[{'name': 'Revenge', 'damage': '40+', 'energy': ['N/A', 'Normal'], 'description': ""If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.""}]",,Psychic,1,kantaro,"It slips into the shadows of others and mimics their powers and movements. As it improves, it becomes stronger than those it’s imitating.",Mythical Island (A1a),A1a-47,◊◊◊,Mew pack,"['Mythical Island #47 ◊◊◊', 'Mythical Island #74 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_047_EN_SM.webp,
Stonjourner,Fighting,120,Pokémon,Basic,,"[{'name': 'Mega Kick', 'damage': '90', 'energy': ['N/A', 'N/A', 'N/A']}]",,Grass,3,Teeziro,The elemental composition of the rocks that form its body were found to match the bedrock of a land far away from this Pokémon’s habitat.,Mythical Island (A1a),A1a-48,◊◊,Mew pack,['Mythical Island #48 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_048_EN_SM.webp,
Koffing,Darkness,70,Pokémon,Basic,,"[{'name': 'Division', 'damage': '', 'energy': ['Dark'], 'description': 'Put 1 random Koffing from your deck onto your Bench.'}]",,Fighting,2,Naoyo Kimura,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.",Mythical Island (A1a),A1a-49,◊,Mew pack,['Mythical Island #49 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_049_EN_SM.webp,
Weezing,Darkness,110,Pokémon,Stage 1,Koffing,"[{'name': 'Smokescreen', 'damage': '50', 'energy': ['Dark', 'Dark'], 'description': ""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""}]",,Fighting,3,Mousho,"If one of the twin Koffing inflates, the other one deflates. It constantly mixes its poisonous gases.",Mythical Island (A1a),A1a-50,◊◊,Mew pack,['Mythical Island #50 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_050_EN_SM.webp,
Purrloin,Darkness,60,Pokémon,Basic,,"[{'name': 'Scratch', 'damage': '20', 'energy': ['Dark']}]",,Grass,1,Kagemaru Himeno,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.,Mythical Island (A1a),A1a-51,◊,Mew pack,['Mythical Island #51 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_051_EN_SM.webp,
Liepard,Darkness,90,Pokémon,Stage 1,Purrloin,"[{'name': 'Slash', 'damage': '40', 'energy': ['Dark']}]",,Grass,1,GIDORA,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.,Mythical Island (A1a),A1a-52,◊,Mew pack,['Mythical Island #52 ◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_052_EN_SM.webp,
